id,donor_id,seq_type,bam
PD63121_pta0001_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0001_dnahyb_run51611.bam
PD63121_pta0002_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0002_dnahyb_run51611.bam
PD63121_pta0003_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0003_dnahyb_run51611.bam
PD63121_pta0004_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0004_dnahyb_run51611.bam
PD63121_pta0005_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0005_dnahyb_run51611.bam
PD63121_pta0006_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0006_dnahyb_run51611.bam
PD63121_pta0008_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0008_dnahyb_run51611.bam
PD63121_pta0010_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0010_dnahyb_run51611.bam
PD63121_pta0012_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0012_dnahyb_run51611.bam
PD63121_pta0013_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0013_dnahyb_run51611.bam
PD63121_pta0014_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0014_dnahyb_run51611.bam
PD63121_pta0016_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0016_dnahyb_run51611.bam
PD63121_pta0017_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0017_dnahyb_run51611.bam
PD63121_pta0019_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0019_dnahyb_run51611.bam
PD63121_pta0020_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0020_dnahyb_run51611.bam
PD63121_pta0021_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0021_dnahyb_run51611.bam
PD63121_pta0022_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0022_dnahyb_run51611.bam
PD63121_pta0024_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0024_dnahyb_run51611.bam
PD63121_pta0025_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0025_dnahyb_run51611.bam
PD63121_pta0026_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0026_dnahyb_run51611.bam
PD63121_pta0027_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0027_dnahyb_run51611.bam
PD63121_pta0028_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0028_dnahyb_run51611.bam
PD63121_pta0031_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0031_dnahyb_run51611.bam
PD63121_pta0034_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0034_dnahyb_run51611.bam
PD63121_pta0035_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0035_dnahyb_run51611.bam
PD63121_pta0036_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0036_dnahyb_run51611.bam
PD63121_pta0039_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0039_dnahyb_run51611.bam
PD63121_pta0042_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0042_dnahyb_run51611.bam
PD63121_pta0044_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0044_dnahyb_run51611.bam
PD63121_pta0048_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0048_dnahyb_run51611.bam
PD63121_pta0050_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0050_dnahyb_run51611.bam
PD63121_pta0052_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0052_dnahyb_run51611.bam
PD63121_pta0054_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0054_dnahyb_run51611.bam
PD63121_pta0056_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0056_dnahyb_run51611.bam
PD63121_pta0057_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0057_dnahyb_run51611.bam
PD63121_pta0060_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0060_dnahyb_run51611.bam
PD63121_pta0061_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0061_dnahyb_run51611.bam
PD63121_pta0063_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0063_dnahyb_run51611.bam
PD63121_pta0065_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0065_dnahyb_run51611.bam
PD63121_pta0070_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0070_dnahyb_run51611.bam
PD63121_pta0073_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0073_dnahyb_run51611.bam
PD63121_pta0077_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0077_dnahyb_run51611.bam
PD63121_pta0078_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0078_dnahyb_run51611.bam
PD63121_pta0080_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0080_dnahyb_run51611.bam
PD63121_pta0082_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0082_dnahyb_run51611.bam
PD63121_pta0083_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0083_dnahyb_run51611.bam
PD63121_pta0084_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0084_dnahyb_run51611.bam
PD63121_pta0086_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0086_dnahyb_run51611.bam
PD63121_pta0087_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0087_dnahyb_run51611.bam
PD63121_pta0089_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0089_dnahyb_run51611.bam
PD63121_pta0090_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0090_dnahyb_run51611.bam
PD63121_pta0091_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0091_dnahyb_run51611.bam
PD63121_pta0093_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0093_dnahyb_run51611.bam
PD63121_pta0095_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0095_dnahyb_run51611.bam
PD63121_pta0096_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0096_dnahyb_run51611.bam
PD63121_pta0097_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0097_dnahyb_run51611.bam
PD63121_pta0098_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0098_dnahyb_run51611.bam
PD63121_pta0101_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0101_dnahyb_run51611.bam
PD63121_pta0102_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0102_dnahyb_run51611.bam
PD63121_pta0103_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0103_dnahyb_run51611.bam
PD63121_pta0105_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0105_dnahyb_run51611.bam
PD63121_pta0106_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0106_dnahyb_run51611.bam
PD63121_pta0107_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0107_dnahyb_run51611.bam
PD63121_pta0108_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0108_dnahyb_run51611.bam
PD63121_pta0110_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0110_dnahyb_run51611.bam
PD63121_pta0111_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0111_dnahyb_run51611.bam
PD63121_pta0113_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0113_dnahyb_run51611.bam
PD63121_pta0114_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0114_dnahyb_run51611.bam
PD63121_pta0116_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0116_dnahyb_run51611.bam
PD63121_pta0117_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0117_dnahyb_run51611.bam
PD63121_pta0119_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0119_dnahyb_run51611.bam
PD63121_pta0123_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0123_dnahyb_run51611.bam
PD63121_pta0125_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0125_dnahyb_run51611.bam
PD63121_pta0128_dnahyb_run51611,PD63121,dnahyb,PD63121_pta0128_dnahyb_run51611.bam
PD63126_pta0003_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0003_dnahyb_run51611.bam
PD63126_pta0008_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0008_dnahyb_run51611.bam
PD63126_pta0010_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0010_dnahyb_run51611.bam
PD63126_pta0011_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0011_dnahyb_run51611.bam
PD63126_pta0021_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0021_dnahyb_run51611.bam
PD63126_pta0022_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0022_dnahyb_run51611.bam
PD63126_pta0027_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0027_dnahyb_run51611.bam
PD63126_pta0029_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0029_dnahyb_run51611.bam
PD63126_pta0038_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0038_dnahyb_run51611.bam
PD63126_pta0042_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0042_dnahyb_run51611.bam
PD63126_pta0055_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0055_dnahyb_run51611.bam
PD63126_pta0056_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0056_dnahyb_run51611.bam
PD63126_pta0060_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0060_dnahyb_run51611.bam
PD63126_pta0063_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0063_dnahyb_run51611.bam
PD63126_pta0068_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0068_dnahyb_run51611.bam
PD63126_pta0070_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0070_dnahyb_run51611.bam
PD63126_pta0071_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0071_dnahyb_run51611.bam
PD63126_pta0074_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0074_dnahyb_run51611.bam
PD63126_pta0078_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0078_dnahyb_run51611.bam
PD63126_pta0083_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0083_dnahyb_run51611.bam
PD63126_pta0085_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0085_dnahyb_run51611.bam
PD63126_pta0088_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0088_dnahyb_run51611.bam
PD63126_pta0098_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0098_dnahyb_run51611.bam
PD63126_pta0102_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0102_dnahyb_run51611.bam
PD63126_pta0105_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0105_dnahyb_run51611.bam
PD63126_pta0109_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0109_dnahyb_run51611.bam
PD63126_pta0117_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0117_dnahyb_run51611.bam
PD63126_pta0121_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0121_dnahyb_run51611.bam
PD63126_pta0122_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0122_dnahyb_run51611.bam
PD63126_pta0124_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0124_dnahyb_run51611.bam
PD63126_pta0126_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0126_dnahyb_run51611.bam
PD63126_pta0127_dnahyb_run51611,PD63126,dnahyb,PD63126_pta0127_dnahyb_run51611.bam
PD66718_pta0097_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0097_dnahyb_run51611.bam
PD66718_pta0098_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0098_dnahyb_run51611.bam
PD66718_pta0099_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0099_dnahyb_run51611.bam
PD66718_pta0100_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0100_dnahyb_run51611.bam
PD66718_pta0102_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0102_dnahyb_run51611.bam
PD66718_pta0104_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0104_dnahyb_run51611.bam
PD66718_pta0105_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0105_dnahyb_run51611.bam
PD66718_pta0107_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0107_dnahyb_run51611.bam
PD66718_pta0109_dnahyb_run51611,PD66718,dnahyb,PD66718_pta0109_dnahyb_run51611.bam
