Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Plex1	Plex19	Plex70
ENSG00000233999	ENSG00000233999.3	IGKV3OR2-268	immunoglobulin kappa variable 3/OR2-268 (non-functional) [Source:HGNC Symbol;Acc:5830]	2	87565634	87566158			
ENSG00000211592	ENSG00000211592.2	IGKC	immunoglobulin kappa constant [Source:HGNC Symbol;Acc:5716]	2	89156674	89157196			
ENSG00000211593	ENSG00000211593.2	IGKJ5	immunoglobulin kappa joining 5 [Source:HGNC Symbol;Acc:5723]	2	89160080	89160117			
ENSG00000211594	ENSG00000211594.2	IGKJ4	immunoglobulin kappa joining 4 [Source:HGNC Symbol;Acc:5722]	2	89160398	89160434			
ENSG00000211595	ENSG00000211595.2	IGKJ3	immunoglobulin kappa joining 3 [Source:HGNC Symbol;Acc:5721]	2	89160733	89160770			
ENSG00000211596	ENSG00000211596.2	IGKJ2	immunoglobulin kappa joining 2 [Source:HGNC Symbol;Acc:5720]	2	89161037	89161074			
ENSG00000211597	ENSG00000211597.2	IGKJ1	immunoglobulin kappa joining 1 [Source:HGNC Symbol;Acc:5719]	2	89161398	89161435			
ENSG00000211598	ENSG00000211598.2	IGKV4-1	immunoglobulin kappa variable 4-1 [Source:HGNC Symbol;Acc:5834]	2	89184913	89185669			
ENSG00000211599	ENSG00000211599.2	IGKV5-2	immunoglobulin kappa variable 5-2 [Source:HGNC Symbol;Acc:5835]	2	89196748	89197300			
ENSG00000197794	ENSG00000197794.2	IGKV7-3	immunoglobulin kappa variable 7-3 (pseudogene) [Source:HGNC Symbol;Acc:5839]	2	89214597	89214894			
ENSG00000253435	ENSG00000253435.1	IGKV2-4	immunoglobulin kappa variable 2-4 (pseudogene) [Source:HGNC Symbol;Acc:5788]	2	89231184	89231898			
ENSG00000243466	ENSG00000243466.1	IGKV1-5	immunoglobulin kappa variable 1-5 [Source:HGNC Symbol;Acc:5741]	2	89246819	89247475			
ENSG00000239855	ENSG00000239855.1	IGKV1-6	immunoglobulin kappa variable 1-6 [Source:HGNC Symbol;Acc:5742]	2	89265781	89266286			
ENSG00000243063	ENSG00000243063.1	IGKV3-7	immunoglobulin kappa variable 3-7 (non-functional) [Source:HGNC Symbol;Acc:5821]	2	89277987	89278600			
ENSG00000240671	ENSG00000240671.1	IGKV1-8	immunoglobulin kappa variable 1-8 [Source:HGNC Symbol;Acc:5743]	2	89291928	89292450			
ENSG00000241755	ENSG00000241755.1	IGKV1-9	immunoglobulin kappa variable 1-9 [Source:HGNC Symbol;Acc:5744]	2	89309479	89310012			
ENSG00000253278	ENSG00000253278.1	IGKV2-10	immunoglobulin kappa variable 2-10 (pseudogene) [Source:HGNC Symbol;Acc:5776]	2	89319489	89320183			
ENSG00000241351	ENSG00000241351.1	IGKV3-11	immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:5815]	2	89326668	89327228			
ENSG00000243290	ENSG00000243290.1	IGKV1-12	immunoglobulin kappa variable 1-12 [Source:HGNC Symbol;Acc:5730]	2	89339721	89340242			
ENSG00000253497	ENSG00000253497.1	IGKV1-13	immunoglobulin kappa variable 1-13 (gene/pseudogene) [Source:HGNC Symbol;Acc:5731]	2	89345492	89345963			
ENSG00000253265	ENSG00000253265.1	IGKV2-14	immunoglobulin kappa variable 2-14 (pseudogene) [Source:HGNC Symbol;Acc:5777]	2	89377506	89378280			
ENSG00000244437	ENSG00000244437.1	IGKV3-15	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:5816]	2	89384673	89385283			
ENSG00000240864	ENSG00000240864.1	IGKV1-16	immunoglobulin kappa variable 1-16 [Source:HGNC Symbol;Acc:5732]	2	89399352	89399854			
ENSG00000240382	ENSG00000240382.1	IGKV1-17	immunoglobulin kappa variable 1-17 [Source:HGNC Symbol;Acc:5733]	2	89416833	89417335			
ENSG00000254157	ENSG00000254157.1	IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene) [Source:HGNC Symbol;Acc:5778]	2	89428207	89428966			
ENSG00000253732	ENSG00000253732.1	IGKV2-19	immunoglobulin kappa variable 2-19 (pseudogene) [Source:HGNC Symbol;Acc:5779]	2	89434458	89434740			
ENSG00000239951	ENSG00000239951.1	IGKV3-20	immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:5817]	2	89442057	89442643			
ENSG00000211611	ENSG00000211611.2	IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional) [Source:HGNC Symbol;Acc:5836]	2	89459235	89459850			
ENSG00000253578	ENSG00000253578.1	IGKV1-22	immunoglobulin kappa variable 1-22 (pseudogene) [Source:HGNC Symbol;Acc:5734]	2	89470259	89470696			
ENSG00000253625	ENSG00000253625.1	IGKV2-23	immunoglobulin kappa variable 2-23 (pseudogene) [Source:HGNC Symbol;Acc:5780]	2	89471506	89472037			
ENSG00000241294	ENSG00000241294.1	IGKV2-24	immunoglobulin kappa variable 2-24 [Source:HGNC Symbol;Acc:5781]	2	89475812	89476644			
ENSG00000253202	ENSG00000253202.1	IGKV3-25	immunoglobulin kappa variable 3-25 (pseudogene) [Source:HGNC Symbol;Acc:5818]	2	89491988	89492240			
ENSG00000254098	ENSG00000254098.1	IGKV2-26	immunoglobulin kappa variable 2-26 (pseudogene) [Source:HGNC Symbol;Acc:5782]	2	89495584	89496317			
ENSG00000244575	ENSG00000244575.1	IGKV1-27	immunoglobulin kappa variable 1-27 [Source:HGNC Symbol;Acc:5735]	2	89512908	89513413			
ENSG00000244116	ENSG00000244116.1	IGKV2-28	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:5783]	2	89521179	89521942			
ENSG00000253998	ENSG00000253998.2	IGKV2-29	immunoglobulin kappa variable 2-29 (gene/pseudogene) [Source:HGNC Symbol;Acc:5784]	2	89533655	89534393			
ENSG00000243238	ENSG00000243238.1	IGKV2-30	immunoglobulin kappa variable 2-30 [Source:HGNC Symbol;Acc:5785]	2	89544264	89545079			
ENSG00000253158	ENSG00000253158.1	IGKV3-31	immunoglobulin kappa variable 3-31 (pseudogene) [Source:HGNC Symbol;Acc:5819]	2	89551697	89552222			
ENSG00000253870	ENSG00000253870.1	IGKV1-32	immunoglobulin kappa variable 1-32 (pseudogene) [Source:HGNC Symbol;Acc:5736]	2	89553057	89553501			
ENSG00000242076	ENSG00000242076.1	IGKV1-33	immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:5737]	2	89567758	89568263			
ENSG00000253860	ENSG00000253860.1	IGKV3-34	immunoglobulin kappa variable 3-34 (pseudogene) [Source:HGNC Symbol;Acc:5820]	2	89575056	89575545			
ENSG00000253461	ENSG00000253461.1	IGKV1-35	immunoglobulin kappa variable 1-35 (pseudogene) [Source:HGNC Symbol;Acc:5738]	2	89586446	89586730			
ENSG00000253487	ENSG00000253487.1	IGKV2-36	immunoglobulin kappa variable 2-36 (pseudogene) [Source:HGNC Symbol;Acc:5786]	2	89594990	89595212			
ENSG00000239862	ENSG00000239862.1	IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional) [Source:HGNC Symbol;Acc:5739]	2	89597021	89597542			
ENSG00000253592	ENSG00000253592.1	IGKV2-38	immunoglobulin kappa variable 2-38 (pseudogene) [Source:HGNC Symbol;Acc:5787]	2	89609655	89609901			
ENSG00000242371	ENSG00000242371.1	IGKV1-39	immunoglobulin kappa variable 1-39 (gene/pseudogene) [Source:HGNC Symbol;Acc:5740]	2	89619383	89619904			
ENSG00000211619	ENSG00000211619.2	IGKV2-40	immunoglobulin kappa variable 2-40 [Source:HGNC Symbol;Acc:5789]	2	89629873	89630186			
ENSG00000251039	ENSG00000251039.2	IGKV2D-40	immunoglobulin kappa variable 2D-40 [Source:HGNC Symbol;Acc:5804]	2	89890601	89891307			
ENSG00000251546	ENSG00000251546.1	IGKV1D-39	immunoglobulin kappa variable 1D-39 [Source:HGNC Symbol;Acc:5756]	2	89901292	89901791			
ENSG00000254009	ENSG00000254009.1	IGKV2D-38	immunoglobulin kappa variable 2D-38 (pseudogene) [Source:HGNC Symbol;Acc:5803]	2	89911273	89911512			
ENSG00000250036	ENSG00000250036.1	IGKV1D-37	immunoglobulin kappa variable 1D-37 (non-functional) [Source:HGNC Symbol;Acc:5755]	2	89923550	89924026			
ENSG00000253127	ENSG00000253127.1	IGKV2D-36	immunoglobulin kappa variable 2D-36 (pseudogene) [Source:HGNC Symbol;Acc:5802]	2	89925832	89926057			
ENSG00000232747	ENSG00000232747.2	IGKV1D-35	immunoglobulin kappa variable 1D-35 (pseudogene) [Source:HGNC Symbol;Acc:5754]	2	89934312	89934582			
ENSG00000253501	ENSG00000253501.1	IGKV3D-34	immunoglobulin kappa variable 3D-34 (pseudogene) [Source:HGNC Symbol;Acc:5828]	2	89945567	89946056			
ENSG00000239975	ENSG00000239975.1	IGKV1D-33	immunoglobulin kappa variable 1D-33 [Source:HGNC Symbol;Acc:5753]	2	89952792	89953355			
ENSG00000253191	ENSG00000253191.1	IGKV1D-32	immunoglobulin kappa variable 1D-32 (pseudogene) [Source:HGNC Symbol;Acc:5752]	2	89967232	89967677			
ENSG00000253999	ENSG00000253999.1	IGKV3D-31	immunoglobulin kappa variable 3D-31 (pseudogene) [Source:HGNC Symbol;Acc:5827]	2	89968511	89969012			
ENSG00000239571	ENSG00000239571.1	IGKV2D-30	immunoglobulin kappa variable 2D-30 [Source:HGNC Symbol;Acc:5801]	2	89975669	89976489			
ENSG00000243264	ENSG00000243264.1	IGKV2D-29	immunoglobulin kappa variable 2D-29 [Source:HGNC Symbol;Acc:5800]	2	89986322	89987079			
ENSG00000242534	ENSG00000242534.2	IGKV2D-28	immunoglobulin kappa variable 2D-28 [Source:HGNC Symbol;Acc:5799]	2	89998789	89999564			
